"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
75,82,0.2,"TT",9.51804533825399
75,64,0.2,"TT",11.2143178487532
80,73,0.2,"TT",10.433140659294
85,82,0.2,"TT",12.3432806171075
75,82,0.2,"TT",9.75410744478286
75,64,0.2,"TT",11.3814719598728
80,73,0.2,"TT",10.2624117529205
85,82,0.2,"TT",12.6352797463695
75,82,0.2,"TT",10.7858444268727
75,64,0.2,"TT",10.7917302433084
80,73,0.2,"TT",10.5699355546274
85,82,0.2,"TT",13.661166657343
75,82,0.2,"TT",11.426293332337
75,64,0.2,"TT",11.8304987987999
80,73,0.2,"TT",10.2345707322474
85,82,0.2,"TT",12.9460485387752
75,82,0.2,"TT",10.6636720696154
75,64,0.2,"TT",11.7856481581871
80,73,0.2,"TT",11.5172496591117
85,82,0.2,"TT",12.7633597560194
75,82,0.2,"TT",10.6188193627808
75,64,0.2,"TT",11.3155519865687
80,73,0.2,"TT",9.76460011490477
85,82,0.2,"TT",13.1066310368389
75,82,0.2,"TT",10.1588848783424
75,64,0.2,"TT",10.2281276608562
80,73,0.2,"TT",9.0936391626844
85,82,0.2,"TT",11.6578483640615
75,82,0.2,"TT",11.1044668132575
75,64,0.2,"TT",10.7877102277905
80,73,0.2,"TT",10.8502521798714
85,82,0.2,"TT",12.4954471415111
75,82,0.2,"TT",12.5427563112373
75,64,0.2,"TT",10.8888158155497
80,73,0.2,"TT",11.9060656161862
85,82,0.2,"TT",11.6765931561401
75,82,0.2,"TT",11.3528215213787
75,64,0.2,"TT",11.8553285058806
80,73,0.2,"TT",10.3173327660665
85,82,0.2,"TT",13.4427194102738
75,82,0.2,"TT",10.2327785426155
75,64,0.2,"TT",9.491894419514
80,73,0.2,"TT",9.45847255917559
85,82,0.2,"TT",13.5080546854673
75,82,0.2,"TT",10.4576691182504
75,64,0.2,"TT",11.2478270186897
80,73,0.2,"TT",12.0623499474593
85,82,0.2,"TT",14.2146750758114
75,82,0.2,"TT",11.1707710970249
75,64,0.2,"TT",12.2861329215332
80,73,0.2,"TT",10.9776085879769
85,82,0.2,"TT",13.8769729541375
75,82,0.2,"TT",11.4275516252992
75,64,0.2,"TT",11.3578451459778
80,73,0.2,"TT",10.6534028231558
85,82,0.2,"TT",13.4238525738391
75,82,0.2,"TT",9.93531959157303
