"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
100,80,0.1,"TT",15.247472249834
120,80,0.1,"TT",18.8433072132282
100,100,0.1,"TT",19.7043005280517
120,100,0.1,"TT",20.223670928097
100,80,0.3,"TT",16.5736742792077
120,80,0.3,"TT",19.6056227891637
100,100,0.3,"TT",20.4751072692861
120,100,0.3,"TT",19.3319996626198
100,80,0.1,"TT",17.2061672158058
120,80,0.1,"TT",20.5203514458769
100,100,0.1,"TT",17.4139813927602
120,100,0.1,"TT",19.2389382498608
100,80,0.3,"TT",16.5950489890177
120,80,0.3,"TT",19.3779629252527
100,100,0.3,"TT",18.5983695112939
120,100,0.3,"TT",18.7903131447573
100,80,0.1,"TT",16.0419850983743
120,80,0.1,"TT",20.2676493813059
100,100,0.1,"TT",19.96356388161
120,100,0.1,"TT",19.6616676041443
100,80,0.3,"TT",15.8986250838891
120,80,0.3,"TT",20.7054140702271
100,100,0.3,"TT",20.1982166313364
120,100,0.3,"TT",20.5972629920568
100,80,0.1,"TT",15.5382013291542
120,80,0.1,"TT",20.2849907264487
100,100,0.1,"TT",18.9979718559572
120,100,0.1,"TT",20.5846879409046
100,80,0.3,"TT",17.2803880639212
120,80,0.3,"TT",19.802960662453
100,100,0.3,"TT",20.9499705963508
120,100,0.3,"TT",19.7762841944817
100,80,0.1,"TT",16.9182868130447
120,80,0.1,"TT",19.2078599607088
100,100,0.1,"TT",18.1175691640908
120,100,0.1,"TT",18.7950061730217
100,80,0.3,"TT",15.2830062569361
120,80,0.3,"TT",20.4585771513183
100,100,0.3,"TT",18.8717693613155
120,100,0.3,"TT",20.6856750122021
100,80,0.1,"TT",15.7181991666175
120,80,0.1,"TT",16.9197910264868
100,100,0.1,"TT",17.5676227682474
120,100,0.1,"TT",20.7355617176256
100,80,0.3,"TT",15.9599637632785
120,80,0.3,"TT",19.2242188928054
100,100,0.3,"TT",20.2698801922917
120,100,0.3,"TT",19.0117946469181
100,80,0.1,"TT",15.6635651896914
120,80,0.1,"TT",18.862935060222
100,100,0.1,"TT",20.6612179092681
120,100,0.1,"TT",20.020514874571
100,80,0.3,"TT",15.4845821939619
120,80,0.3,"TT",18.8228281595913
100,100,0.3,"TT",21.2474052116836
120,100,0.3,"TT",21.3209324590418
100,80,0.1,"TT",14.6657897760253
120,80,0.1,"TT",19.8095107075387
100,100,0.1,"TT",17.8275296213246
120,100,0.1,"TT",22.0777866144576
100,80,0.3,"TT",16.5107588182585
120,80,0.3,"TT",20.0671570194577
100,100,0.3,"TT",18.4110053104665
120,100,0.3,"TT",21.1200292994149
100,80,0.1,"TT",18.4602551193149
120,80,0.1,"TT",18.6334587210383
100,100,0.1,"TT",19.4048479791048
120,100,0.1,"TT",19.4399339947957
100,80,0.3,"TT",17.6168316555525
120,80,0.3,"TT",17.6315814395582
100,100,0.3,"TT",18.8926437145647
120,100,0.3,"TT",19.6987305452023
100,80,0.1,"TT",15.5379447555579
120,80,0.1,"TT",18.0651371799577
100,100,0.1,"TT",19.1969944267236
120,100,0.1,"TT",19.5520276928407
100,80,0.3,"TT",15.7367245194442
120,80,0.3,"TT",18.5788928004095
100,100,0.3,"TT",19.5368196257409
120,100,0.3,"TT",19.6679418138217
100,80,0.1,"TT",16.7600975139359
120,80,0.1,"TT",20.5568031861971
100,100,0.1,"TT",20.4505046400065
120,100,0.1,"TT",20.6608796891508
100,80,0.3,"TT",15.9746827261527
120,80,0.3,"TT",19.9315931304742
100,100,0.3,"TT",19.9162138172606
120,100,0.3,"TT",21.581463170366
100,80,0.1,"TT",16.6940574214964
120,80,0.1,"TT",19.1809065559593
100,100,0.1,"TT",20.0926308518294
120,100,0.1,"TT",20.2945924330876
100,80,0.3,"TT",16.1457171798472
120,80,0.3,"TT",20.8499449967379
100,100,0.3,"TT",18.862010892063
120,100,0.3,"TT",18.9071815813661
100,80,0.1,"TT",15.8322536854584
120,80,0.1,"TT",19.282896299937
100,100,0.1,"TT",19.3211205860951
120,100,0.1,"TT",19.032306271777
100,80,0.3,"TT",16.3054414485986
120,80,0.3,"TT",19.6031643466357
100,100,0.3,"TT",18.5488601898059
120,100,0.3,"TT",19.8091232456155
100,80,0.1,"TT",15.7816636272742
120,80,0.1,"TT",19.0800995409391
100,100,0.1,"TT",20.2189022550524
120,100,0.1,"TT",20.7583535406024
100,80,0.3,"TT",16.9295348871548
120,80,0.3,"TT",19.3704013880834
100,100,0.3,"TT",19.1047840311751
120,100,0.3,"TT",21.7007664675908
100,80,0.1,"TT",16.2981968285073
120,80,0.1,"TT",19.0343541860844
100,100,0.1,"TT",19.2467493632816
120,100,0.1,"TT",19.7171876443986
100,80,0.3,"TT",14.9099238193704
120,80,0.3,"TT",19.3851034511069
100,100,0.3,"TT",18.9155699416378
120,100,0.3,"TT",19.2806050675808
100,80,0.1,"TT",16.2171057186591
120,80,0.1,"TT",19.3286942598519
100,100,0.1,"TT",18.1055649261328
120,100,0.1,"TT",17.8018232765497
100,80,0.3,"TT",15.0212893156219
120,80,0.3,"TT",18.3715933035116
100,100,0.3,"TT",20.3147852521398
120,100,0.3,"TT",20.8540935150189
100,80,0.1,"TT",15.5659087770865
120,80,0.1,"TT",19.059370538914
100,100,0.1,"TT",20.1868556512872
120,100,0.1,"TT",20.0669535716242
100,80,0.3,"TT",14.2817405663782
120,80,0.3,"TT",18.2529739000397
100,100,0.3,"TT",20.3198144934695
120,100,0.3,"TT",18.5674798128808
100,80,0.1,"TT",15.724393652377
120,80,0.1,"TT",18.7747758846321
100,100,0.1,"TT",18.1350017333295
120,100,0.1,"TT",19.4969561587069
100,80,0.3,"TT",16.1263313468814
120,80,0.3,"TT",19.5109563716303
100,100,0.3,"TT",17.9892016344559
120,100,0.3,"TT",20.8139328347139
100,80,0.1,"TT",15.5745590173814
120,80,0.1,"TT",17.9396151303494
100,100,0.1,"TT",19.790456119928
120,100,0.1,"TT",21.3136414278586
100,80,0.3,"TT",14.768891999556
120,80,0.3,"TT",18.4759995936739
100,100,0.3,"TT",19.55944189316
