"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
90,73,0.2,"TT",12.9716635526727
70,73,0.2,"TT",10.408443173796
80,86,0.2,"TT",12.0595916727352
80,60,0.2,"TT",12.237129893631
90,73,0.2,"TT",13.4039327865049
70,73,0.2,"TT",9.93108160179155
80,86,0.2,"TT",12.8863432313219
80,60,0.2,"TT",11.4053894491306
90,73,0.2,"TT",13.0218075467144
70,73,0.2,"TT",12.601408379436
80,86,0.2,"TT",12.4418035805925
80,60,0.2,"TT",13.6091709395356
90,73,0.2,"TT",12.2274769178817
70,73,0.2,"TT",9.53263377026417
80,86,0.2,"TT",12.4893535048232
80,60,0.2,"TT",13.7306014871127
90,73,0.2,"TT",12.9556249459326
70,73,0.2,"TT",10.016931013369
80,86,0.2,"TT",11.9807213434062
80,60,0.2,"TT",12.3657435401915
90,73,0.2,"TT",11.1936277707533
70,73,0.2,"TT",9.64586072648892
80,86,0.2,"TT",12.3568470048315
80,60,0.2,"TT",10.3585906781629
90,73,0.2,"TT",14.0470988505202
70,73,0.2,"TT",9.81018368643363
80,86,0.2,"TT",10.1195488292148
80,60,0.2,"TT",11.6107026639493
90,73,0.2,"TT",12.953656800736
70,73,0.2,"TT",8.78381758669646
80,86,0.2,"TT",13.0984306559097
80,60,0.2,"TT",12.3764566997731
90,73,0.2,"TT",11.9113544579643
70,73,0.2,"TT",9.51117094855224
80,86,0.2,"TT",11.3755652289168
80,60,0.2,"TT",14.3699955070175
90,73,0.2,"TT",13.3605762402732
70,73,0.2,"TT",11.0416239570731
80,86,0.2,"TT",10.3030066886353
80,60,0.2,"TT",12.8453957296504
90,73,0.2,"TT",14.3554058811161
70,73,0.2,"TT",10.9432415628549
80,86,0.2,"TT",11.8219610839874
80,60,0.2,"TT",13.9333064333504
90,73,0.2,"TT",13.5527614789906
70,73,0.2,"TT",10.5380923249954
80,86,0.2,"TT",10.1994009830764
80,60,0.2,"TT",11.8102192421577
90,73,0.2,"TT",12.6588028305984
70,73,0.2,"TT",9.73036955778418
80,86,0.2,"TT",13.0993270930635
80,60,0.2,"TT",12.8136398616345
90,73,0.2,"TT",11.2428684061744
70,73,0.2,"TT",10.6009635024364
80,86,0.2,"TT",12.8751701656425
80,60,0.2,"TT",14.0655055958311
90,73,0.2,"TT",13.7232580657462
70,73,0.2,"TT",10.8892744328402
80,86,0.2,"TT",11.4017099194275
80,60,0.2,"TT",11.7859337095879
90,73,0.2,"TT",13.5363631641328
70,73,0.2,"TT",9.81671620726221
80,86,0.2,"TT",10.3491298388581
80,60,0.2,"TT",12.5628840230909
90,73,0.2,"TT",12.7176778908718
70,73,0.2,"TT",9.13449259483549
80,86,0.2,"TT",12.4610063520718
80,60,0.2,"TT",12.232972564129
90,73,0.2,"TT",12.5157171530007
70,73,0.2,"TT",9.96569322333145
80,86,0.2,"TT",13.0988072257969
80,60,0.2,"TT",12.2405394839958
90,73,0.2,"TT",13.0332117054064
70,73,0.2,"TT",9.79122381861184
80,86,0.2,"TT",12.2731200467716
80,60,0.2,"TT",12.6994976496302
90,73,0.2,"TT",13.9055214603079
70,73,0.2,"TT",9.04202654625911
80,86,0.2,"TT",12.6289928141169
80,60,0.2,"TT",13.5227026858266
90,73,0.2,"TT",13.6258618122584
70,73,0.2,"TT",11.6006726380467
80,86,0.2,"TT",14.1059180815047
80,60,0.2,"TT",12.1668971803275
90,73,0.2,"TT",12.9866566581942
70,73,0.2,"TT",11.3361869937051
80,86,0.2,"TT",12.1445726730614
80,60,0.2,"TT",13.1441025913451
90,73,0.2,"TT",13.0574334059602
70,73,0.2,"TT",9.0208341211778
80,86,0.2,"TT",11.3809292804441
80,60,0.2,"TT",11.4610113755146
90,73,0.2,"TT",14.107321075526
70,73,0.2,"TT",10.4482809042429
80,86,0.2,"TT",13.1300431638189
80,60,0.2,"TT",14.1538396075409
90,73,0.2,"TT",14.1929234988611
70,73,0.2,"TT",10.0195826983527
80,86,0.2,"TT",10.5478292045929
80,60,0.2,"TT",12.1922361537726
90,73,0.2,"TT",12.456260033344
70,73,0.2,"TT",9.90839264276584
80,86,0.2,"TT",12.0900407398196
80,60,0.2,"TT",12.6960502462719
90,73,0.2,"TT",12.4602558060618
70,73,0.2,"TT",11.6636066621146
80,86,0.2,"TT",12.5423949124845
80,60,0.2,"TT",14.036460189951
90,73,0.2,"TT",11.6384335758205
70,73,0.2,"TT",10.9480718770247
80,86,0.2,"TT",11.3531565688195
80,60,0.2,"TT",12.9022827542512
90,73,0.2,"TT",12.2320479914413
70,73,0.2,"TT",10.3987846446517
80,86,0.2,"TT",13.639317727244
80,60,0.2,"TT",12.9825747188567
90,73,0.2,"TT",13.67673916273
70,73,0.2,"TT",11.3195544566838
80,86,0.2,"TT",11.7468840363424
80,60,0.2,"TT",13.6908940385284
90,73,0.2,"TT",11.4020308123187
70,73,0.2,"TT",10.8062376318136
80,86,0.2,"TT",13.3562261264979
80,60,0.2,"TT",13.1208407263976
90,73,0.2,"TT",12.5030049104059
70,73,0.2,"TT",9.12891258937693
80,86,0.2,"TT",11.2812202103813
80,60,0.2,"TT",12.5579969646802
90,73,0.2,"TT",12.5344568690984
70,73,0.2,"TT",12.2065326852732
80,86,0.2,"TT",13.3090406476724
80,60,0.2,"TT",11.4017849212963
90,73,0.2,"TT",12.4314240739832
70,73,0.2,"TT",10.0491231829345
80,86,0.2,"TT",12.4230792870184
80,60,0.2,"TT",14.3791015568808
90,73,0.2,"TT",13.5311317189767
70,73,0.2,"TT",12.4147481967864
80,86,0.2,"TT",11.1586829758306
80,60,0.2,"TT",12.1164878449833
90,73,0.2,"TT",13.505521262018
70,73,0.2,"TT",10.5393912410927
80,86,0.2,"TT",13.0888352124592
80,60,0.2,"TT",12.2630857866149
90,73,0.2,"TT",11.8429001165864
70,73,0.2,"TT",10.6430409802954
80,86,0.2,"TT",11.2118647112083
80,60,0.2,"TT",12.2291456562464
90,73,0.2,"TT",12.9604947577811
70,73,0.2,"TT",9.81908109402308
80,86,0.2,"TT",12.3671110332407
80,60,0.2,"TT",12.3529926265491
90,73,0.2,"TT",13.4838765560054
70,73,0.2,"TT",10.4675393297946
80,86,0.2,"TT",12.4167050427053
80,60,0.2,"TT",10.8061554637336
90,73,0.2,"TT",12.5819495977737
70,73,0.2,"TT",10.3028872760711
80,86,0.2,"TT",13.0208804543083
80,60,0.2,"TT",12.6751199682605
90,73,0.2,"TT",12.5579966337637
70,73,0.2,"TT",10.0897335716744
80,86,0.2,"TT",11.1279435856963
80,60,0.2,"TT",11.7765592139397
90,73,0.2,"TT",13.0787278228418
70,73,0.2,"TT",11.5143228326357
80,86,0.2,"TT",12.759943234969
80,60,0.2,"TT",12.7916515142777
90,73,0.2,"TT",12.3110848342453
70,73,0.2,"TT",10.5586974232318
80,86,0.2,"TT",11.5949567503517
80,60,0.2,"TT",11.9296685336138
90,73,0.2,"TT",13.5078222312714
70,73,0.2,"TT",11.64403249891
80,86,0.2,"TT",11.149653873589
80,60,0.2,"TT",12.4244013757748
90,73,0.2,"TT",12.4741936839528
70,73,0.2,"TT",10.5206056775519
80,86,0.2,"TT",11.7444884575407
80,60,0.2,"TT",12.4192412715036
90,73,0.2,"TT",12.0475493665195
70,73,0.2,"TT",10.2265447340324
80,86,0.2,"TT",12.4216266832076
80,60,0.2,"TT",12.5244429586863
90,73,0.2,"TT",13.0516416199168
70,73,0.2,"TT",8.83924467563174
80,86,0.2,"TT",11.2796975216861
80,60,0.2,"TT",13.4532195820363
90,73,0.2,"TT",12.4397399054533
70,73,0.2,"TT",10.7942926046412
80,86,0.2,"TT",12.336463933343
80,60,0.2,"TT",13.2596633400977
90,73,0.2,"TT",15.6325217942471
70,73,0.2,"TT",10.2856843583419
80,86,0.2,"TT",13.3092203813275
80,60,0.2,"TT",13.3286663049814
90,73,0.2,"TT",12.0960794184961
70,73,0.2,"TT",11.7904833074354
80,86,0.2,"TT",12.7556947436412
80,60,0.2,"TT",13.0719817867306
90,73,0.2,"TT",12.1695086677025
